,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
49,0.004001696904500325,0.0008168280445336071,0.003333012262980143,0.0004709208275973758,balanced,3,6,5,"{'class_weight': 'balanced', 'max_depth': 3, 'min_samples_leaf': 6, 'min_samples_split': 5}",0.6271186440677966,0.7349397590361444,0.6857142857142857,68.25908962727422,0.04407315796458639,61
50,0.004333972930908203,0.00047120177640471074,0.00299986203511556,2.247831920581015e-07,balanced,3,6,6,"{'class_weight': 'balanced', 'max_depth': 3, 'min_samples_leaf': 6, 'min_samples_split': 6}",0.6271186440677966,0.7349397590361444,0.6857142857142857,68.25908962727422,0.04407315796458639,61
51,0.004334290822347005,0.000470808556746706,0.003332853317260742,0.00047086460162382225,balanced,3,7,4,"{'class_weight': 'balanced', 'max_depth': 3, 'min_samples_leaf': 7, 'min_samples_split': 4}",0.6818181818181819,0.7349397590361444,0.6857142857142857,70.08240755228707,0.02417581163857381,13
52,0.003666400909423828,0.0004735620798937051,0.004335482915242513,0.00047232858068254333,balanced,3,7,5,"{'class_weight': 'balanced', 'max_depth': 3, 'min_samples_leaf': 7, 'min_samples_split': 5}",0.6818181818181819,0.7349397590361444,0.6857142857142857,70.08240755228707,0.02417581163857381,13
53,0.003999392191569011,2.0261683120698866e-06,0.0033339659372965493,0.0004719323117259841,balanced,3,7,6,"{'class_weight': 'balanced', 'max_depth': 3, 'min_samples_leaf': 7, 'min_samples_split': 6}",0.6818181818181819,0.7349397590361444,0.6857142857142857,70.08240755228707,0.02417581163857381,13
54,0.0066670576731363935,0.0020546816164894797,0.007327715555826823,0.0009528023853158815,balanced,3,8,4,"{'class_weight': 'balanced', 'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 4}",0.6818181818181819,0.7096774193548389,0.6666666666666666,68.60540892798957,0.017812699509412402,45
55,0.0066670576731363935,0.0030907679160570817,0.003668069839477539,0.00047255272094909193,balanced,3,8,5,"{'class_weight': 'balanced', 'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 5}",0.6818181818181819,0.7096774193548389,0.6666666666666666,68.60540892798957,0.017812699509412402,45
56,0.0036666393280029297,0.0004713705145349331,0.0036676724751790366,0.000472101390774474,balanced,3,8,6,"{'class_weight': 'balanced', 'max_depth': 3, 'min_samples_leaf': 8, 'min_samples_split': 6}",0.6818181818181819,0.7096774193548389,0.6666666666666666,68.60540892798957,0.017812699509412402,45
57,0.004334608713785808,0.00047142736344104794,0.0033315817515055337,0.00046906641691537074,balanced,3,9,4,"{'class_weight': 'balanced', 'max_depth': 3, 'min_samples_leaf': 9, 'min_samples_split': 4}",0.6818181818181819,0.7096774193548389,0.6615384615384615,68.4344687570494,0.019733680825753875,48
58,0.004334608713785808,0.0004726066613021584,0.003333012262980143,0.0004717639753553908,balanced,3,9,5,"{'class_weight': 'balanced', 'max_depth': 3, 'min_samples_leaf': 9, 'min_samples_split': 5}",0.6818181818181819,0.7096774193548389,0.6615384615384615,68.4344687570494,0.019733680825753875,48
59,0.003666559855143229,0.00047148274534186793,0.003000020980834961,3.371747880871523e-07,balanced,3,9,6,"{'class_weight': 'balanced', 'max_depth': 3, 'min_samples_leaf': 9, 'min_samples_split': 6}",0.6818181818181819,0.7096774193548389,0.6615384615384615,68.4344687570494,0.019733680825753875,48
60,0.004333019256591797,0.0018853128502023038,0.005000670750935872,0.0014154036482597096,balanced,4,6,4,"{'class_weight': 'balanced', 'max_depth': 4, 'min_samples_leaf': 6, 'min_samples_split': 4}",0.6938775510204082,0.7600000000000001,0.6715328467153284,70.8470132578579,0.03756165491537257,1
61,0.004666487375895183,0.0004711470183440624,0.0036710103352864585,0.00046941449025164443,balanced,4,6,5,"{'class_weight': 'balanced', 'max_depth': 4, 'min_samples_leaf': 6, 'min_samples_split': 5}",0.6938775510204082,0.7600000000000001,0.6715328467153284,70.8470132578579,0.03756165491537257,1
62,0.0033336480458577475,0.00047148274534186793,0.003332932790120443,0.0004704712612517074,balanced,4,6,6,"{'class_weight': 'balanced', 'max_depth': 4, 'min_samples_leaf': 6, 'min_samples_split': 6}",0.6938775510204082,0.7600000000000001,0.6715328467153284,70.8470132578579,0.03756165491537257,1
63,0.0036667982737223306,0.00047181992012995503,0.0036673545837402344,0.00047183801809608044,balanced,4,7,4,"{'class_weight': 'balanced', 'max_depth': 4, 'min_samples_leaf': 7, 'min_samples_split': 4}",0.6715328467153284,0.7482993197278911,0.6715328467153284,69.71216710528493,0.03618806242330478,23
